,time,metric,anom
0,1980-01-01,1024.0,False
1,1980-01-02,1024.01,False
2,1980-01-03,1024.02,False
3,1980-01-04,1024.03,False
4,1980-01-05,1024.24,False
5,1980-01-06,1023.8499999999999,False
6,1980-01-07,1024.26,False
7,1980-01-08,1023.9699999999999,False
8,1980-01-09,1024.08,False
9,1980-01-10,1024.1899999999998,False
10,1980-01-11,1024.1,False
11,1980-01-12,1024.11,False
12,1980-01-13,1024.12,False
13,1980-01-14,1024.33,False
14,1980-01-15,1024.04,False
15,1980-01-16,1024.2499999999998,False
16,1980-01-17,1024.1599999999999,False
17,1980-01-18,1024.2699999999998,False
18,1980-01-19,1024.08,False
19,1980-01-20,1024.2899999999997,False
20,1980-01-21,1024.1999999999998,False
21,1980-01-22,1024.4099999999999,False
22,1980-01-23,1024.0199999999998,False
23,1980-01-24,1024.1299999999999,False
24,1980-01-25,1024.0399999999997,False
25,1980-01-26,1024.0499999999997,False
26,1980-01-27,1024.2599999999998,False
27,1980-01-28,1024.2699999999998,False
28,1980-01-29,1024.1799999999998,False
29,1980-01-30,1024.2899999999997,False
30,1980-01-31,1024.0999999999997,False
31,1980-02-01,1024.1099999999997,False
32,1980-02-02,1024.1199999999997,False
33,1980-02-03,1024.3299999999997,False
34,1980-02-04,1024.3399999999997,False
35,1980-02-05,1024.4499999999996,False
36,1980-02-06,1024.4599999999996,False
37,1980-02-07,1024.3699999999997,False
38,1980-02-08,1024.3799999999997,False
39,1980-02-09,1024.3899999999996,False
40,1980-02-10,1024.5999999999997,False
41,1980-02-11,1024.3099999999997,False
42,1980-02-12,1024.2199999999996,False
43,1980-02-13,1024.4299999999996,False
44,1980-02-14,1024.4399999999996,False
45,1980-02-15,1024.6499999999996,False
46,1980-02-16,1024.4599999999996,False
47,1980-02-17,1024.4699999999996,False
48,1980-02-18,1024.2799999999995,False
49,1980-02-19,1024.2899999999995,False
50,1980-02-20,1024.3999999999996,False
51,1980-02-21,1024.7099999999996,False
52,1980-02-22,1024.3199999999995,False
53,1980-02-23,1024.5299999999995,False
54,1980-02-24,1024.3399999999995,False
55,1980-02-25,1024.5499999999995,False
56,1980-02-26,1024.7599999999995,False
57,1980-02-27,1024.3699999999994,False
58,1980-02-28,1024.6799999999994,False
59,1980-02-29,1024.5899999999995,False
60,1980-03-01,1024.3999999999994,False
61,1980-03-02,1024.4099999999994,False
62,1980-03-03,1024.7199999999993,False
63,1980-03-04,1024.7299999999993,False
64,1980-03-05,1024.4399999999994,False
65,1980-03-06,1024.6499999999994,False
66,1980-03-07,1024.4599999999994,False
67,1980-03-08,1024.4699999999993,False
68,1980-03-09,1024.5799999999995,False
69,1980-03-10,1024.8899999999994,False
70,1980-03-11,1024.6999999999994,False
71,1980-03-12,1024.8099999999993,False
72,1980-03-13,1024.6199999999994,False
73,1980-03-14,1024.7299999999993,False
74,1980-03-15,1024.5399999999993,False
75,1980-03-16,1024.6499999999994,False
76,1980-03-17,1024.6599999999994,False
77,1980-03-18,1024.7699999999993,False
78,1980-03-19,1024.7799999999993,False
79,1980-03-20,1024.7899999999993,False
80,1980-03-21,1024.9999999999993,False
81,1980-03-22,1024.8099999999993,False
82,1980-03-23,1024.6199999999992,False
83,1980-03-24,1024.8299999999992,False
84,1980-03-25,1025.0399999999993,False
85,1980-03-26,1024.9499999999991,False
86,1980-03-27,1024.6599999999992,False
87,1980-03-28,1024.7699999999993,False
88,1980-03-29,1024.7799999999993,False
89,1980-03-30,1024.7899999999993,False
90,1980-03-31,1025.0999999999992,False
91,1980-04-01,1024.9099999999992,False
92,1980-04-02,1024.8199999999993,False
93,1980-04-03,1025.029999999999,False
94,1980-04-04,1024.9399999999991,False
95,1980-04-05,1025.049999999999,False
96,1980-04-06,1024.9599999999991,False
97,1980-04-07,1024.9699999999991,False
98,1980-04-08,1024.8799999999992,False
99,1980-04-09,1024.8899999999992,False
100,1980-04-10,1024.999999999999,False
101,1980-04-11,1025.009999999999,False
102,1980-04-12,1024.819999999999,False
103,1980-04-13,1024.9299999999992,False
104,1980-04-14,1025.039999999999,False
105,1980-04-15,1025.049999999999,False
106,1980-04-16,1025.059999999999,False
107,1980-04-17,1024.9699999999991,False
108,1980-04-18,1024.979999999999,False
109,1980-04-19,1024.989999999999,False
110,1980-04-20,1025.099999999999,False
111,1980-04-21,1025.209999999999,False
112,1980-04-22,1024.919999999999,False
113,1980-04-23,1024.929999999999,False
114,1980-04-24,1025.139999999999,False
115,1980-04-25,1025.2499999999989,False
116,1980-04-26,1024.959999999999,False
117,1980-04-27,1025.069999999999,False
118,1980-04-28,1024.9799999999989,False
119,1980-04-29,1025.389999999999,False
120,1980-04-30,1025.199999999999,False
121,1980-05-01,1025.0099999999989,False
122,1980-05-02,1025.419999999999,False
123,1980-05-03,1025.2299999999989,False
124,1980-05-04,1025.2399999999989,False
125,1980-05-05,1025.2499999999989,False
126,1980-05-06,1025.459999999999,False
127,1980-05-07,1025.469999999999,False
128,1980-05-08,1025.2799999999988,False
129,1980-05-09,1025.189999999999,False
130,1980-05-10,1025.2999999999988,False
131,1980-05-11,1025.209999999999,False
132,1980-05-12,1025.4199999999987,False
133,1980-05-13,1025.4299999999987,False
134,1980-05-14,1025.3399999999988,False
135,1980-05-15,1025.2499999999989,False
136,1980-05-16,1025.3599999999988,False
137,1980-05-17,1025.3699999999988,False
138,1980-05-18,1025.1799999999987,False
